objectid,subject,title,filename,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,format,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8400500223,CMU,CHILDREN'S MUSEUM OF ARKANSAS,demo_001.jpg,710714026,,A52,,,image/jpeg,CHILDRENS MUSEUM OF ARKANSAS INC,,,500 PRESIDENT CLLINTON AVE,LITTLE ROCK,AR,72201,72201,,,,,,5013967050,,,,,,,,,,,,,,,,-92.16606,34.70142,3,5,4,5,119,500 PRESIDENT CLLINTON AVE,LITTLE ROCK,AR,72201,72201,0,0,0,0,0,0,0,
8400600098,CMU,TEMECULA CHILDREN'S MUSEUM,demo_001.jpg,200708860,,A11,,813219,image/jpeg,FRIENDS OF THE TEMECULA CHILDRENS MUSEUM,,,42081 MAIN ST,TEMECULA,CA,92590,92590,,,,,,9513086376,,FRIENDS OF THE TEMECULA CHILDRENS MUSEUM,201312,4,130746,89040,42081 MAIN ST,TEMECULA,CA,92590-2769,200610,,,,,-117.14955,33.49286,6,8,1,6,65,42081 MAIN ST,TEMECULA,CA,92590-2769,92590,1,0,0,1,0,0,0,
8400600333,CMU,LAKE ARROWHEAD CHILDREN'S MUSEUM,demo_001.jpg,330472074,,,627750896,,image/jpeg,LAKE ARROWHEAD CHILDREN'S MUSEUM,,LAKE ARROWHEAD CHILDREN'S MSM,28200 HIGHWAY 189,LAKE ARROWHEAD,CA,92352,92352,,,,,,9093363093,,,,,,,,,,,,,,,,-117.18978,34.2493,6,8,3,6,71,28200 HIGHWAY 189,LAKE ARROWHEAD,CA,92352,92352,0,0,0,1,0,0,0,
8400600373,CMU,IMAGINE U CHILDREN'S MUSEUM,demo_001.jpg,,,,,,image/jpeg,IMAGINE U CHILDREN'S MUSEUM,CHILDREN'S MUSEUM OF THE SEQUOIAS,,700 E MAIN ST,VISALIA,CA,93292,93292,,,,,,5597335975,HTTP://IMAGINEUMUSEUM.ORG/,,,,,,,,,,,,,,,-119.28524,36.33027,6,8,1,6,107,700 E MAIN ST,VISALIA,CA,93292,93292,0,0,0,1,0,0,0,
8400600465,CMU,CHILDREN'S MUSEUM OF ORANGE COUNTY,demo_001.jpg,330761254,,A52,,712110,image/jpeg,PRETEND CITY THE CHILDRENS MUSEUM OF ORANGE COUNTY,,,17752 SKY PARK CIR,IRVINE,CA,92614,92614,29 HUBBLE,IRVINE,CA,92614,92614,9494283900,HTTP://PRETENDCITY.ORG/,PRETEND CITY THE CHILDRENS MUSEUM OF ORANGE COUNTY,201312,6,3874620,3619430,29 HUBBLE,IRVINE,CA,92618-4209,199806,,,,,-117.74236,33.64063,6,8,1,6,59,29 HUBBLE,IRVINE,CA,92614,92614,1,0,0,1,0,0,0,
8400600474,CMU,CHILDREN'S MUSEUM OF LOS ANGLES,demo_001.jpg,,,,,,image/jpeg,CHILDRENS MUSEUM OF LA,,,11800 FOOTHILL BLVD,SYLMAR,CA,91342,91342,,,,,,8186869280,,,,,,,,,,,,,,,,-118.39416,34.27793,6,8,1,6,37,11800 FOOTHILL BLVD,SYLMAR,CA,91342,91342,0,0,0,1,0,0,0,
8400600510,CMU,CHILDREN'S DISCOVERY MUSEUM,demo_001.jpg,,,,930930805,,image/jpeg,CHILDREN'S DISCOVERY MUSEUM,,,2787 STATE ST,CARLSBAD,CA,92008,92008,,,,,,7607200737,,,,,,,,,,,,,,,,-117.3506,33.16175,6,8,1,6,73,2787 STATE ST,CARLSBAD,CA,92008,92008,0,0,0,1,0,0,0,
8400600685,CMU,FREMONT CHILDREN'S PEACE PAVILION,demo_001.jpg,161699636,,A52,,712110,image/jpeg,FREMONT CHILDRENS PEACE PAVILION,,,34050 PASEO PADRE PARKWAY,FREMONT,CA,94555-2366,94555,,,,,,5107921929,,FREMONT CHILDRENS PEACE PAVILION,201406,0,0,0,34050 PASEO PADRE PKWY,FREMONT,CA,94555-2366,200408,,,,,-122.04076,37.57581,6,8,1,6,1,34050 PASEO PADRE PKWY,FREMONT,CA,94555-2366,94555,1,0,0,0,0,0,0,
8400600709,CMU,SAN MATEO CHILDREN MUSEUM,demo_001.jpg,200721302,,,,,image/jpeg,SAN MATEO CHILDREN MUSEUM FOUNDATION INC,,,138 SOUTH B STREET,SAN MATEO,CA,94401,94401,,,,,,9258373750,,,,,,,,,,,,,,,,-122.32381,37.56667,6,8,1,6,81,138 SOUTH B STREET,SAN MATEO,CA,94401,94401,0,0,0,0,0,0,0,
8400600722,CMU,SOUTH LAKE ALLIANCE CHILDREN'S MUSEUM OF ARTS & SCIENCE,demo_001.jpg,201378010,,A52,,712110,image/jpeg,SOUTH LAKE ALLIANCE CHILDRENS MUSEUM OF ARTS & SCIENCE OF C,,SOUTH LAKE ALLIANCE CHILDRENS MUSEUM OF ARTS & SCIENCE OF,PO BOX 2634,CLEARLAKE,CA,95422-2634,95422,,,,,,,,SOUTH LAKE ALLIANCE CHILDRENS MUSEUM OF ARTS & SCIENCE OF C,201312,0,0,0,PO BOX 2634,CLEARLAKE,CA,95422-2634,200502,,,,,-122.64,38.95935,6,8,3,6,33,PO BOX 2634,CLEARLAKE,CA,95422-2634,95422,1,0,0,0,0,0,0,
8400600725,CMU,ZIMMER CHILDREN'S MUSEUM,demo_001.jpg,201470992,,A50,76197706,712110,image/jpeg,ZIMMER CHILDRENS MUSEUM,ZIMMER CHILDREN'S MUSEUM,,6505 WILSHIRE BL 1ST FL,LOS ANGELES,CA,90048-4906,90048,,,,,,3237618989,HTTP://WWW.ZIMMERMUSEUM.ORG,ZIMMER CHILDRENS MUSEUM,201312,6,2474181,2186880,6505 WILSHIRE BL 1ST FL,LOS ANGELES,CA,90048-4906,200502,,,,,-118.36989,34.06402,6,8,1,6,37,6505 WILSHIRE BL 1ST FL,LOS ANGELES,CA,90048-4906,90048,1,0,1,1,0,0,0,
8400600753,CMU,SACRAMENTO CHILDREN'S MUSEUM,demo_001.jpg,202673935,,A52,,712110,image/jpeg,SACRAMENTO CHILDRENS MUSEUM,,,2701 PROSPECT PARK DR,RANCHO CORDOVA,CA,95670-6406,95670,,,,,,9166387225,HTTP://WWW.SACKIDS.ORG,SACRAMENTO CHILDRENS MUSEUM,201312,5,557438,532113,2701 PROSPECT PARK DR ST,RNCHO CORDOV,CA,95670-6406,200506,,,,,-121.28398,38.58872,6,8,1,6,67,2701 PROSPECT PARK DR ST,RNCHO CORDOV,CA,95670-6406,95670,1,0,0,1,0,0,0,
8400600771,CMU,CHILDREN'S MUSEUM OF SONOMA COUNTY,demo_001.jpg,203496878,,A52,43603327,712110,image/jpeg,CHILDRENS MUSEUM OF SONOMA COUNTY,,,1835 WEST STEELE LANE,SANTA ROSA,CA,95406-2323,95406,PO BOX 12323,SANTA ROSA,CA,95406-2323,95406,7075464069,HTTP://WWW.CMOSC.ORG/HOME.HTML,CHILDRENS MUSEUM OF SONOMA COUNTY,201306,6,1037603,1026044,PO BOX 12323,SANTA ROSA,CA,95406-2323,200512,,,,,-122.73062,38.45793,6,8,1,6,97,PO BOX 12323,SANTA ROSA,CA,95406-2323,95406,1,0,0,0,0,0,0,
8400600976,CMU,SOUTH BAY CHILDREN'S MUSEUM,demo_001.jpg,260474378,,A50,944478671,,image/jpeg,SOUTH BAY CHILDREN'S MUSEUM,,,2220 OTAY LAKES RD,CHULA VISTA,CA,91915-1004,91915,,,,,,6199929000,HTTP://WWW.SOUTHBAYCM.ORG/,,,,,,,,,,,,,,,-116.96202,32.64929,6,8,2,6,73,2220 OTAY LAKES RD,CHULA VISTA,CA,91915-1004,91915,0,0,0,0,0,0,0,
8400601223,CMU,CHILDREN'S MUSEUM AT LA HABRA,demo_001.jpg,330244625,,A52,7559396,813219,image/jpeg,FRIENDS OF THE CHILDRENS MUSEUM AT LA HABRA INC,CHILDREN'S MUSEUM AT LA HABRA,,301 S EUCLID ST,LA HABRA,CA,90631-5412,90631,,,,,,5629059634,,FRIENDS OF THE CHILDRENS MUSEUM AT LA HABRA INC,201406,4,435328,395126,301 S EUCLID ST,LA HABRA,CA,90631-5412,198806,,,,,-117.9462,33.92915,6,8,2,6,59,301 S EUCLID ST,LA HABRA,CA,90631-5412,90631,1,1,1,1,0,0,0,
8400601269,CMU,CHILDREN'S DISCOVERY MUSEUM,demo_001.jpg,330534412,,A52,930930805,,image/jpeg,CHILDREN'S DISCOVERY MUSEUM,,,265 VILLAGE RUN W,ENCINITAS,CA,92024-3057,92024,,,,,,,,,,,,,,,,,,,,,,-117.25083,33.04871,6,8,2,6,73,265 VILLAGE RUN W,ENCINITAS,CA,92024-3057,92024,0,0,0,0,0,0,0,
8400601430,CMU,PASO ROBLES CHILDREN'S MUSEUM,demo_001.jpg,421572723,,A52,,712110,image/jpeg,CHILDRENS MUSEUM AT THE PASO ROBLES VOLUNTEER FIREHOUSE,,CHILDRENS MUSEUM AT THE PASO ROBLES VOLUNTEER FIREHOUSE,623 13TH ST,PASO ROBLES,CA,93446-2228,93446,,,,,,8052387432,HTTP://WWW.PASOKIDS.ORG,CHILDRENS MUSEUM AT THE PASO ROBLES VOLUNTEER FIREHOUSE,201312,4,152065,144930,623 13TH ST,PASO ROBLES,CA,93446-2228,200306,,,,,-120.69183,35.62791,6,8,1,6,79,623 13TH ST,PASO ROBLES,CA,93446-2228,93446,1,0,0,1,0,0,0,
8400601463,CMU,FRESNO CHILDREN'S MUSEUM PROJECT,demo_001.jpg,452540926,,A50,,712110,image/jpeg,FRESNO CHILDRENS MUSEUM PROJECT,,,1155 WEST SHAW AVENUE STE 104,FRESNO,CA,93711,93711,,,,,,5592225068,HTTP://WWW.PLAYZEUM.ORG,FRESNO CHILDRENS MUSEUM PROJECT,201306,0,0,0,1155 W SHAW AVE STE 104,FRESNO,CA,93711-3748,201501,,,,,-119.81124,36.80827,6,8,2,6,19,1155 W SHAW AVE STE 104,FRESNO,CA,93711-3748,93711,1,0,0,0,0,0,0,
8400601537,CMU,BUENA PARK CHILDREN'S MUSEUM,demo_001.jpg,463216285,,A52,,712110,image/jpeg,BUENA PARK CHILDRENS MUSEUM,,,7550 ORANGETHORPE,BUENA PARK,CA,90621-3467,90621,,,,,,,,BUENA PARK CHILDRENS MUSEUM,,0,,,7550 ORANGETHORPE AVE ST,BUENA PARK,CA,90621-3467,201312,,,,,-118.00153,33.8588,6,8,2,6,59,7550 ORANGETHORPE AVE ST,BUENA PARK,CA,90621-3467,90621,1,0,0,0,0,0,0,
8400601662,CMU,FOLSOM CHILDREN'S MUSEUM,demo_001.jpg,680041618,,A52,160288692,,image/jpeg,FOLSOM CHILDREN'S MUSEUM,,,912 SUTTER ST,FOLSOM,CA,95630-2441,95630,,,,,,9169852707,HTTP://WWW.FOLSOMHISTORICALSOCIETY.ORG/,,,,,,,,,,,,,,,-121.17959,38.67563,6,8,1,6,67,912 SUTTER ST,FOLSOM,CA,95630-2441,95630,0,0,0,0,0,0,0,
8400601709,CMU,CHILDREN'S MUSEUM OF STOCKTON,demo_001.jpg,680224599,,A52,,712110,image/jpeg,CHILDRENS MUSEUM OF STOCKTON,,,402 W WEBER AVE,STOCKTON,CA,95203-3108,95203,,,,,,2094654386,HTTP://WWW.CHILDRENSMUSEUMSTOCKTON.ORG/,CHILDRENS MUSEUM OF STOCKTON,201306,4,312571,300284,402 W WEBER AVE,STOCKTON,CA,95203-3108,199604,,,,,-121.29656,37.95248,6,8,1,6,77,402 W WEBER AVE,STOCKTON,CA,95203-3108,95203,1,0,0,1,0,0,0,
8400601723,CMU,OAKLAND EXPLORATORY CHILDREN'S MUSEUM,demo_001.jpg,680273225,,A50,,,image/jpeg,OAKLAND EXPLORATORY CHILDRENS MUSEUM,,,3600 SIERRA RIDE AVE 1308,RICHMOND,CA,94806,94806,,,,,,,,,,,,,,,,,,,,,,-122.3392,37.97163,6,8,2,6,,3600 SIERRA RIDE AVE 1308,RICHMOND,CA,94806,94806,0,0,0,0,0,0,0,
8400601934,CMU,SAN LUIS OBISPO CHILDREN'S MUSEUM,demo_001.jpg,770261830,,A52,,712110,image/jpeg,SAN LUIS OBISPO CHILDRENS MUSEUM,,,1010 NIPOMO ST,SAN LUIPS,CA,93401-3870,93401,,,,,,8055455874,HTTP://WWW.SLOCM.ORG,SAN LUIS OBISPO CHILDRENS MUSEUM,201312,4,336729,300634,1010 NIPOMO ST,SN LUIS OBIS,CA,93401-3870,199506,,,,,-120.66603,35.27883,6,8,1,6,79,1010 NIPOMO ST,SN LUIS OBIS,CA,93401-3870,93401,1,0,0,1,0,0,0,
8400602010,CMU,CASTLE EARTH CHILDREN'S MUSEUM,demo_001.jpg,770436664,,A50,,,image/jpeg,CASTLE EARTH CHILDRENS MUSEUM,,CASTLE EARTH CHILDRENS MUSEUM INC A DELAWARE CORPORATION,2616 PHIPPS AVE,SIMI VALLEY,CA,93065,93065,,,,,,,,,,,,,,,,,,,,,,-118.74652,34.26633,6,8,2,6,111,2616 PHIPPS AVE,SIMI VALLEY,CA,93065,93065,0,0,0,0,0,0,0,
8400602056,ART,CHILDREN'S DREAM ART MUSEUM,demo_001.jpg,770563472,,,,,image/jpeg,CHILDRENS DREAM ART MUSEUM,,,17887 ASH ST,FOUNTAIN VALLEY,CA,92708,92708,,,,,,,,,,,,,,,,,,,,,,-117.96515,33.70329,6,8,1,6,59,17887 ASH ST,FOUNTAIN VALLEY,CA,92708,92708,0,0,0,0,0,0,0,
8400602158,CMU,MUSEUM OF CHILDREN'S BOOKS,demo_001.jpg,912113920,,A50,,710000,image/jpeg,THE MUSEUM OF CHILDRENS BOOKS INC,,,8271 BEVERLY BLVD,LOS ANGELES,CA,90048-4515,90048,,,,,,3237821010,HTTP://WWW.SCBWI.ORG,THE MUSEUM OF CHILDRENS BOOKS INC,201312,0,0,0,8271 BEVERLY BLVD,LOS ANGELES,CA,90048-4515,200109,,,,,-118.36965,34.07615,6,8,1,6,37,8271 BEVERLY BLVD,LOS ANGELES,CA,90048-4515,90048,1,0,0,1,0,0,0,
8400602382,CMU,SAN JOSE CHILDREN'S DISCOVERY MUSEUM,demo_001.jpg,942870828,,A52,148227929,712110,image/jpeg,SAN JOSE CHILDRENS DISCOVERY MUSEUM,SAN JOSE CHILDREN'S DISCOVERY MUSEUM,,180 WOZ WAY,SAN JOSE,CA,95110-2722,95110,,,,,,,HTTPS://WWW.CDM.ORG/,SAN JOSE CHILDRENS DISCOVERY MUSEUM,201408,7,8077969,7849289,180 WOZ WAY,SAN JOSE,CA,95110-2722,198304,,,,,-121.88873,37.32674,6,8,1,6,85,180 WOZ WAY,SAN JOSE,CA,95110-2722,95110,1,1,1,1,0,0,0,
8400602413,CMU,MUSEUM OF CHILDREN'S ART,demo_001.jpg,943086749,,A52,789467875,712110,image/jpeg,MUSEUM OF CHILDRENS ART,MUSEUM OF CHILDREN'S ART,,538 9TH ST STE 210,OAKLAND,CA,94612-1564,94612,1625 CLAY STREET,OAKLAND,CA,94612-1564,94612,5104658770,,MUSEUM OF CHILDRENS ART,201306,5,911630,911630,1625 CLAY ST STE 100,OAKLAND,CA,94612-1564,199306,,,,,-122.27276,37.80679,6,8,1,6,1,1625 CLAY STREET,OAKLAND,CA,94612-1564,94612,1,0,1,1,0,0,0,
8400602438,CMU,HABITOT CHILDREN'S MUSEUM,demo_001.jpg,943191605,,A52,42372636,712110,image/jpeg,HABITOT CHILDRENS MUSEUM,HABITOT CHILDREN'S MUSEUM,,1563 SOLANO AVE 326,BERKELEY,CA,94707-2116,94707,,,,,,,HTTP://WWW.HABITOT.ORG,HABITOT CHILDRENS MUSEUM,201312,5,514470,498321,1563 SOLANO AVE 326,BERKELEY,CA,94707-2116,199802,,,,,-122.2846,37.89114,6,8,1,6,1,1563 SOLANO AVE 326,BERKELEY,CA,94707-2116,94707,1,1,1,1,0,0,0,
8400602484,CMU,VALLEY CHILDREN'S MUSEUM,demo_001.jpg,943340530,,A52,,712110,image/jpeg,VALLEY CHILDRENS MUSEUM,,,PO BOX 2102,DUBLIN,CA,94568-0210,94568,4201B CENTRAL PARKWAY,DUBLIN,CA,94568-0210,94568,,HTTP://VALLEYCHILDRENSMUSEUM.ORG/,VALLEY CHILDRENS MUSEUM,201405,2,17831,17831,PO BOX 2102,DUBLIN,CA,94568-0210,200005,,,,,-121.86699,37.71391,6,8,2,6,1,4201B CENTRAL PARKWAY,DUBLIN,CA,94568-0210,94568,1,0,0,0,0,0,0,
8400602678,CMU,CHILDREN'S MUSEUM OF LOS ANGELES,demo_001.jpg,953314312,,A52,5806956,,image/jpeg,CHILDRENS MUSEUM OF LOS ANGELES,,,3250 OCEAN PARK BLVD STE 350,SANTA MONICA,CA,90405-3257,90405,,,,,,3104500875,,,,,,,,,,,,,,,,-118.45219,34.02078,6,8,1,6,37,3250 OCEAN PARK BLVD STE 350,SANTA MONICA,CA,90405-3257,90405,0,0,0,0,0,0,0,
8400602714,CMU,NEW CHILDREN'S MUSEUM,demo_001.jpg,953619583,,A52,151294063,712110,image/jpeg,THE NEW CHILDRENS MUSEUM,CHILDREN'S MUSEUM,,200 W ISLAND AVE,SAN DIEGO,CA,92101-6850,92101,,,,,,,HTTP://WWW.THINKPLAYCREATE.ORG,THE NEW CHILDRENS MUSEUM,201312,6,3807136,3652201,200 W ISLAND AVE,SAN DIEGO,CA,92101-6850,198108,,,,,-117.16467,32.71049,6,8,1,6,73,200 W ISLAND AVE,SAN DIEGO,CA,92101-6850,92101,1,1,1,1,0,0,0,
8400602859,CMU,CHILDREN'S WORLD MUSEUM,demo_001.jpg,954675840,,A50,,712110,image/jpeg,CHILDRENS WORLD MUSEUM,,,3700 4TH AVENUE,LA CRESCENTA,CA,91214,91214,,,,,,,,CHILDRENS WORLD MUSEUM,201412,0,0,0,3700 4TH AVE,GLENDALE,CA,91214-2442,199805,,,,,-118.26028,34.23395,6,8,1,6,37,3700 4TH AVE,GLENDALE,CA,91214-2442,91214,1,0,0,0,0,0,0,
8400800106,CMU,CLIMBING TREE CHILDREN'S MUSEUM,demo_001.jpg,202781001,,A52,,712110,image/jpeg,CLIMBING TREE CHILDRENS MUSEUM,,,413 N 1ST ST,MONTROSE,CO,81401,81401,330 SOUTH 8TH STREET,MONTROSE,CO,81401,81401,9702408733,HTTP://WWW.THECLIMBINGTREE.ORG/,CLIMBING TREE CHILDRENS MUSEUM,201312,0,0,0,2851 STAR RIDGE CT,MONTROSE,CO,81401-5210,200601,,,,,-107.87052,38.47276,5,7,3,8,85,330 SOUTH 8TH STREET,MONTROSE,CO,81401,81401,1,0,0,1,0,0,0,
8400800233,SCI,TRAILHEAD CHILDREN'S MUSEUM,demo_001.jpg,262162713,,A57,,712110,image/jpeg,TRAILHEAD CHILDRENS MUSEUM,,,PO BOX 1508,CRESTED BUTTE,CO,81224-1508,81224,THE OUTPOST BUILDING 19 EMMONS LOOP,MT CRESTED BUTTE,CO,81224-1508,81224,9703497160,HTTP://WWW.TRAILHEADKIDS.ORG/,TRAILHEAD CHILDRENS MUSEUM,201312,4,177441,164689,PO BOX 1508,CRESTED BUTT,CO,81224-1508,200812,,,,,-106.90742,38.82981,5,7,4,8,,THE OUTPOST BUILDING 19 EMMONS LOOP,MT CRESTED BUTTE,CO,81224-1508,81224,1,0,0,0,0,0,0,
8400800237,CMU,HAPPY HANDS CHILDREN'S MUSEUM,demo_001.jpg,262794876,,,,,image/jpeg,HAPPY HANDS CHILDRENS MUSEUM,,,551 TAOPI LANE,WOODLAND PARK,CO,80863,80863,,,,,,7196872055,,,,,,,,,,,,,,,,-105.05864,39.00573,5,7,3,8,119,551 TAOPI LANE,WOODLAND PARK,CO,80863,80863,0,0,0,0,0,0,0,
8400800268,CMU,MOUNTAIN TOP CHILDREN'S MUSEUM,demo_001.jpg,300101161,,A52,,712110,image/jpeg,MOUNTAIN TOP CHILDRENS MUSEUM INC,,,PO BOX 4359,BRECKENRIDGE,CO,80424-4359,80424,605 S PARK AVE,BRECKENRIDGE,CO,80424-4359,80424,9704537878,HTTP://WWW.MTNTOPMUSEUM.ORG,MOUNTAIN TOP CHILDRENS MUSEUM INC,201312,4,179271,169420,PO BOX 4359,BRECKENRIDGE,CO,80424-4359,200211,,,,,-106.06155,39.50498,5,7,3,8,117,605 S PARK AVE,BRECKENRIDGE,CO,80424-4359,80424,1,0,0,1,0,0,0,
8400800426,CMU,CHILDREN'S MUSEUM OF DENVER,demo_001.jpg,840658142,,A52,10612620,712110,image/jpeg,CHILDRENS MUSEUM OF DENVER INC,CHILDREN'S MUSEUM OF DENVER,,2121 CHILDRENS MUSEUM DR,DENVER,CO,80211-5221,80211,,,,,,3034337444,HTTP://WWW.MYCHILDSMUSEUM.ORG,CHILDRENS MUSEUM OF DENVER INC,201406,8,12808165,12400759,2121 CHILDRENS MUSEUM DR,DENVER,CO,80211-5221,197401,,,,,-105.01681,39.74899,5,7,1,8,31,2121 CHILDRENS MUSEUM DR,DENVER,CO,80211-5221,80211,1,1,1,1,0,0,0,
